GEOID,households_total,white_nonhisp_100k_plus,black_hh_income_lt25k,black_pop_below_poverty,total_population,ice_income_households,ice_poverty_mixed,source,nonfatal_shooting_rate,vacant_housing_pct,college_educated_pct,black_residents_pct,median_household_income
24510010500,746,377,0,12,1888,0.5053619302949062,0.1933262711864407,acs5_2019_tract,NA,18.647764449291166,75.75351640991293,3.0190677966101696,128227
24510070200,1092,0,472,1518,3696,-0.43223443223443225,-0.4107142857142857,acs5_2019_tract,NA,29.50290510006456,4.583538689009364,97.26731601731602,31292
24510070300,293,0,57,188,900,-0.1945392491467577,-0.2088888888888889,acs5_2019_tract,NA,39.58762886597938,12.09800918836141,83.22222222222223,36985
24510070400,770,6,327,467,1601,-0.41688311688311686,-0.28794503435352903,acs5_2019_tract,NA,10.982658959537572,32.31173380035026,81.32417239225484,24457
24510080400,403,15,169,317,1263,-0.38213399503722084,-0.2391132224861441,acs5_2019_tract,NA,46.763540290620874,18.602029312288614,80.91844813935076,32772
24510130100,1426,121,719,963,2558,-0.41935483870967744,-0.32916340891321344,acs5_2019_tract,NA,24.309978768577494,31.164901664145233,79.71071149335418,22464
24510130200,1087,76,223,329,2751,-0.13523459061637536,-0.09196655761541257,acs5_2019_tract,NA,27.33957219251337,31.96322336398053,81.6793893129771,48175
24510130806,556,183,19,11,1423,0.2949640287769784,0.12087139845397049,acs5_2019_tract,NA,11.04,49.795249795249795,18.692902319044272,92885
24510200200,813,0,364,683,2072,-0.44772447724477243,-0.3296332046332046,acs5_2019_tract,NA,43.892339544513455,8.078750848608282,95.65637065637065,27623
24510080800,502,12,132,447,1583,-0.23904382470119523,-0.27479469361970943,acs5_2019_tract,NA,33.597883597883595,12.91248206599713,94.37776373973468,53333
24510080102,691,0,262,807,2159,-0.3791606367583213,-0.37378415933302456,acs5_2019_tract,NA,27.568134171907758,5.310396409872849,95.64613246873553,32747
24510080200,440,0,141,228,1164,-0.32045454545454544,-0.1958762886597938,acs5_2019_tract,NA,39.226519337016576,8.75912408759124,93.90034364261169,36375
24510120700,1022,256,42,13,2207,0.20939334637964774,0.11010421386497508,acs5_2019_tract,NA,13.095238095238095,44.36424208772904,22.066153149071138,65365
24510130400,741,40,318,652,2171,-0.37516869095816463,-0.2818977429755873,acs5_2019_tract,NA,39.55954323001631,13.8,87.60939659143251,28550
24510130700,2477,722,74,166,4734,0.2616067823980622,0.11744824672581326,acs5_2019_tract,NA,9.664478482859227,62.35799040646302,7.604562737642586,72404
24510140300,881,44,330,398,1932,-0.3246311010215664,-0.18322981366459629,acs5_2019_tract,NA,40.39242219215156,20.737647877522615,91.97722567287785,37917
24510170100,881,45,273,267,1594,-0.25879682179341656,-0.13927227101631118,acs5_2019_tract,NA,10.739614994934144,30.198019801980198,65.93475533249686,31088
24510180200,377,10,169,257,947,-0.4217506631299735,-0.2608236536430834,acs5_2019_tract,NA,36.95652173913044,16.473616473616474,86.16684266103485,25398
24510190300,725,22,326,700,2158,-0.4193103448275862,-0.31417979610750696,acs5_2019_tract,NA,46.88644688644688,4.954268292682927,60.75069508804449,17925
24510250102,1117,18,178,320,2732,-0.1432408236347359,-0.11054172767203514,acs5_2019_tract,NA,16.392215568862277,15.890850722311397,89.53147877013177,50354
24510250301,797,16,369,851,2303,-0.44291091593475534,-0.36257056013894917,acs5_2019_tract,NA,22.696411251212414,8.60719874804382,88.58011289622232,26581
